UnitID,Institution Name,City location of institution (HD2020),Hours of sunlight per city,Total  enrollment (DRVEF2020),Total  enrollment (DRVEF2019),Total  enrollment (DRVEF2018_RV),Average enrollment from 2020 - 2018
131159,American University,Washington,2527.7,14001,14318,14311,14210
104151,Arizona State University Campus Immersion,Tempe,3919.11,74795,53286,51585,59888.67
164988,Boston University,Boston,2633.6,32718,33720,34657,33698.33
211440,Carnegie Mellon University,Pittsburgh,2021.3,13519,14180,14029,13909.33
190099,Colgate University,Hamilton,2395.1,3054,2992,2969,3005
126818,Colorado State University-Fort Collins,Fort Collins,2990,32428,33426,33478,33110.67
190150,Columbia University in the City of New York,New York,2534.7,30135,31456,31077,30889.33
212054,Drexel University,Philadelphia,2498.4,23589,24205,24634,24142.67
131469,George Washington University,Washington,2527.7,27017,27814,28172,27667.67
131496,Georgetown University,Washington,2527.7,19371,19593,19204,19389.33
167358,Northeastern University,Boston,2633.6,22905,22207,21627,22246.33
147767,Northwestern University,Evanston,2508.4,22603,22448,22127,22392.67
204796,Ohio State University-Main Campus,Columbus,2182.6,61369,61391,61170,61310
204857,Ohio University-Main Campus,Athens,2824,25714,27367,28480,27187
195003,Rochester Institute of Technology,Rochester,2298.2,16158,16254,16463,16291.67
179159,Saint Louis University,Saint Louis,2593.7,12229,12799,14438,13155.33
149231,Southern Illinois University-Edwardsville,Edwardsville,3059.4,12860,13061,13281,13067.33
243744,Stanford University,Stanford,3070,15953,17249,17381,16861
196413,Syracuse University,Syracuse,2119.5,21322,22850,22803,22325
228547,Tarrant County College District,Fort Worth,2849.7,43000,50519,51100,48206.33
216339,Temple University,Philadelphia,2498.4,37236,38794,39740,38590
131283,The Catholic University of America,Washington,2527.7,5366,5771,5956,5697.67
221759,The University of Tennessee-Knoxville,Knoxville,2613.9,30559,29460,28894,29637.67
196088,University at Buffalo,Buffalo,2206.6,32347,31923,31503,31924.33
110635,University of California-Berkeley,Berkeley,3061.7,42327,43185,42501,42671
145637,University of Illinois Urbana-Champaign,Champaign,2963.9,52679,51605,49702,51328.67
163286,University of Maryland-College Park,College Park,2527.7,40709,40743,41200,40884
174066,University of Minnesota-Twin Cities,Minneapolis,2710.7,52017,51327,50943,51429
178396,University of Missouri-Columbia,Columbia,2627,31089,30014,29843,30315.33
183044,University of New Hampshire-Main Campus,Durham,2976.6,14348,14788,15298,14811.33
227216,University of North Texas,Denton,3107.4,40953,39336,38241,39510
207500,University of Oklahoma-Norman Campus,Norman,3218.5,27772,28079,28564,28138.33
215062,University of Pennsylvania,Philadelphia,2498.4,26552,26675,25860,26362.33
215293,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,2021.3,32277,32686,28673,31212
137351,University of South Florida,Tampa,2926.5,50626,44246,43846,46239.33
230764,University of Utah,Salt Lake City,3029.4,33081,32852,33023,32985.33
231174,University of Vermont,Burlington,2295.1,13292,13548,13395,13411.67
234076,University of Virginia-Main Campus,Charlottesville,3072.7,25628,25012,24639,25093
240444,University of Wisconsin-Madison,Madison,2773.4,44640,44257,43463,44120
237011,Western Washington University,Bellingham,2755.1,15197,16142,16121,15820
